mu sigma
1.9265358330774918 4.874873113507215
3.0232910667677038 4.915897241794087
3.698531615093943 4.651450673679167
3.3820298860372553 4.7105001417341885
3.97709833017735 3.2322332077004754
4.321392104881175 3.9621374425019362
3.0029160945619453 2.963044721296816
3.6239712412896496 4.590783166953224
2.7193553784978346 3.009779532629401
1.9234693666326312 3.715901327868937
2.0566400621471006 4.209053818447454
1.9704561470687247 3.7636336343409162
3.8004450745851464 3.2054237761924878
3.4271993128758838 3.049105256355291
4.120655795520407 4.103571017590985
3.8713800157772544 4.35121364735831
3.2199124428380306 4.5654597300863875
2.9005773323788593 3.0364334422023385
3.6531270145773007 4.440391196021744
4.117306629059209 3.9993373720857885
3.0626054744426154 4.535286536218143
4.106944170251907 3.9915529908744505
2.687479908006847 4.481852686671266
2.502818472544609 4.395335535194414
2.572299084476887 4.411790317033791
2.2073132101180013 4.167238357421548
2.2198862801094488 3.409830938866026
3.227177848348454 4.492307762669988
2.248088318233152 4.187889111714353
2.477814280613952 4.350196469219208
3.3656352788370967 3.0938125772343774
3.7189196923420926 3.2377459586855464
2.4971214949393437 4.344977912316384
3.7916145658292737 4.272955298162793
2.146749858471231 4.017213566539089
2.5383617347040257 4.351451891234307
3.8252886578080476 3.3252807132783833
2.739786965946236 4.417722931157816
3.7768629075624913 4.26339709904891
2.9366493275265433 4.450681033011488
3.7655005344195276 4.268490812228
2.1262649810889878 3.9071104931782283
2.5158295534609705 3.2160468750700555
3.071505862231465 3.079096335986058
3.5971819903362343 4.347710923896989
2.122423478160036 3.7714061428686962
3.450753588311692 4.394272477547766
2.4208258166054137 3.283118684609294
2.744593842811735 4.399003413625745
2.9742674664166295 4.436288569686138
3.598167982253245 4.339305060714183
2.9558111521045367 3.090980736196544
2.5696818054065496 4.336533364796258
2.1362507760826372 3.8316189987654203
3.5195679871385925 4.363634744996034
3.9793174016212824 3.5637582114821997
3.978520275527264 3.9799645364508676
3.7310152961058938 4.249580730394689
2.3778970007903104 3.3323114933341746
2.29802562095806 4.133548734723503
2.7901729817711614 4.3871270316036215
3.401721139762208 4.38063961186097
3.0353785520908456 3.102639754686114
3.993470714505886 3.675965316289566
2.894711285423793 3.117092393441674
3.2105900490898835 3.1097959788631266
2.9621190979859584 3.1102041673015925
3.978557329130197 3.8910835084899977
3.2613523713014523 3.1244226477204617
3.399699824610841 4.348248358164936
2.3751465111651724 4.14975392229775
3.379451113067502 4.3505790391066075
3.874967995642286 4.053342762455241
2.4890736514832055 4.224078983469999
3.3407839182034564 4.352787047267103
2.626237707426418 4.291303461345574
2.6163884705943232 4.286528542804763
2.684807030447565 4.312024850919185
2.3127053413439698 3.457341324700166
2.6974484271252432 4.307351094407609
2.9984955088538188 4.3643418283659035
3.5366978610737116 4.279695471387431
3.9533881222002614 3.7063439379009964
3.6666692251109883 4.213097755395912
3.922645150015969 3.9282901678778046
3.895404617551387 3.5368260363450297
3.4364050934246877 3.183513839488814
2.5384924375364704 4.230970496762071
2.899515461005438 4.346506668981615
2.97957947593453 4.354899639877459
3.9124538911183175 3.5787155987901684
2.301672743014108 4.021984325483477
2.897294983462109 4.343548603260952
3.7655763490147702 3.379517181884183
3.4924472550983965 4.284283916061419
3.943985245463698 3.7319224043328445
3.9006914683307796 3.949418843892727
3.234409056531339 3.1437103946168357
2.8488471846530934 4.328397824335973
2.2284734136678743 3.721226734814107
3.3009458672863197 3.1569839528552537
3.7034151054683875 4.166038314729016
2.5524985088508334 4.2182724502361415
2.655281139164268 3.2240440030470463
2.314693689431238 4.010194014951164
3.40241312146566 4.3005635894149306
2.6043271148657423 3.250416722259968
2.3535344209618754 3.4503410283095723
